transientid,ML_PROB_FRB
0.215039_DM_30.09_beam_0C2020_04_11_22:13:04_1.fil.hdf5,1.0
0.219271_DM_2877.91_beam_331C2020_04_12_03:33:19.fil.hdf5,0.00026053618
0.222944_DM_56.80_beam_0C2020_03_30_03:56:10.fil.hdf5,0.99561656
0.223559_DM_57.72_beam_7C2020_02_04_02:46:25.fil.hdf5,1.0348393e-08
0.224173_DM_55.26_beam_3C2020_02_04_02:46:25.fil.hdf5,6.9279054e-09
0.224786_DM_55.87_beam_0C2020_02_04_02:46:25.fil.hdf5,8.142603e-09
0.230298_DM_55.57_beam_6C2020_02_04_02:46:25.fil.hdf5,4.084094e-09
0.23045_DM_352.74_beam_0I2020_01_12_23:31:12.fil.hdf5,0.0039254664
0.233357_DM_53.73_beam_9C2020_02_04_02:46:25.fil.hdf5,7.322017e-09
0.235191_DM_1915.82_beam_50C2020_04_12_05:16:22.fil.hdf5,0.0001175837
0.237858_DM_428.28_beam_0I2020_01_12_23:36:28.fil.hdf5,0.00038614476
0.240399_DM_180.52_beam_0C2020_04_19_17:42:01.fil.hdf5,1.0
0.243067_DM_100.70_beam_0C2020_04_19_19:49:45.fil.hdf5,1.0
0.243773_DM_86.57_beam_0C2020_03_31_02:55:11.fil.hdf5,0.008333358
0.244692_DM_75.83_beam_0C2020_04_07_01:14:20.fil.hdf5,0.9999994
0.246239_DM_49.12_beam_0C2020_03_28_14:40:48.fil.hdf5,0.99951184
0.253171_DM_129.25_beam_0C2020_04_19_18:32:27.fil.hdf5,1.0
0.2574_DM_373.93_beam_0I2020_01_12_23:35:23.fil.hdf5,0.00035339122
0.25893_DM_75.83_beam_0C2020_04_12_01:03:46.fil.hdf5,1.0
0.261228_DM_503.26_beam_0I2020_01_12_23:38:37.fil.hdf5,0.00033091434
0.266641_DM_573.02_beam_0I2020_01_12_23:37:37.fil.hdf5,0.0019450317
0.27164_DM_56.80_beam_0C2020_03_30_04:02:01.fil.hdf5,0.99999654
0.27317_DM_349.37_beam_10C2020_02_14_04:43:22.fil.hdf5,6.794198e-05
0.274391_DM_1544.04_beam_493C2020_04_13_01:02:11.fil.hdf5,3.0662257e-05
0.274548_DM_105.92_beam_0I2020_01_12_23:37:02.fil.hdf5,0.00036998672
0.284653_DM_151.35_beam_0I2020_01_12_23:31:39.fil.hdf5,9.2537e-05
0.286032_DM_75.83_beam_0C2020_03_30_01:41:10.fil.hdf5,1.0
0.294664_DM_75.83_beam_0C2020_04_07_06:06:08.fil.hdf5,1.0
0.295585_DM_75.83_beam_0C2020_02_02_11:20:11.fil.hdf5,1.0
0.295888_DM_75.83_beam_0C2020_02_27_23:54:25.fil.hdf5,1.0
